fundid,date,reg,train_r2,test_r2,train_var,test_var,test_var1,test_var2,ratio,disc,comments,coef,intercept
fund000404,2019-12-31,daily_return,0.9096905793090816,0.9655604919390962,0.054608664753818106,0.06240488158092811,0.06911645143743025,0.10294967387905184,1,1,n,[0.83006128 0.14928801],0.038142365345807394
fund000404,2019-12-31,daily_return,0.8752644524413887,0.9467440400211689,0.0641785865898145,0.07760223019706444,0.1290119219180369,0.08797274534062044,0.8575334458853869,0.98,c,[1.49270725 0.55458131],0.013085244583243172
fund000404,2019-12-31,daily_return,0.9029022903096238,0.959443468841822,0.056623866641875284,0.06772055284899474,0.11672157105252107,0.07076094364548244,0.8575334458853869,0.985,c,[1.40163132 0.50178674],0.011073007824579317
fund000404,2019-12-31,daily_return,0.9205462799756343,0.9673882748326126,0.051221482880199884,0.06072632235255986,0.09971554066579467,0.07051094291001238,0.8575334458853869,0.99,c,[1.28282373 0.47862984],0.014299856039334868
fund000404,2019-12-31,daily_return,0.9236863029591449,0.9691476277047525,0.050199139915507944,0.0590655667426032,0.08020745065055317,0.08649956503581256,0.8575334458853869,0.995,c,[1.13671825 0.55222951],0.023614344372770046
fund000404,2020-03-31,daily_return,0.9594703596291412,0.7017657342607788,0.06886173532971954,0.10672530207414789,0.04155422581190866,0.2093666800817297,1,1,n,[0.7121081 0.2538479],-0.004351677339152385
fund000404,2020-03-31,daily_return,0.9062505734663212,0.7969654565978166,0.10473115610556308,0.0880589675120716,0.08844641835550932,0.15229825382206635,0.5732828256485473,0.98,c,[1.5556959  0.72196689],0.19187530847166062
fund000404,2020-03-31,daily_return,0.9231057145309458,0.7950820425842879,0.09485028071909775,0.08846645640858249,0.07947827567610435,0.1580773840039101,0.5732828256485473,0.985,c,[1.50185219 0.68019848],0.15227992152356823
fund000404,2020-03-31,daily_return,0.9384335763764696,0.780913355830346,0.08487182694592063,0.09147376907512446,0.06824522722077118,0.16974212994074894,0.5732828256485473,0.99,c,[1.43242181 0.63982462],0.10564653859140323
fund000404,2020-03-31,daily_return,0.9510105850720393,0.7506337952587734,0.07570816398231558,0.09759047239873664,0.05504424059300011,0.18725846520137407,0.5732828256485473,0.995,c,[1.34592069 0.60724252],0.05277787658025389
fund000404,2020-06-30,daily_return,0.8858776242282171,0.9364066366110432,0.06711881657470291,0.08923990714118611,0.14372589382044504,0.10582018499220378,1,1,n,[0.63140304 0.28209477],0.1868693149244378
fund000404,2020-06-30,daily_return,0.8526966004440375,0.9485607596642107,0.07625446411357867,0.08026024577774724,0.10404249138581168,0.12223742551056482,0.9380712870975016,0.98,c,[1.00450861 1.0431638 ],0.20159207795654988
fund000404,2020-06-30,daily_return,0.8672534051968019,0.9536839198167988,0.0723886676273006,0.07615862785120478,0.10088564809498093,0.11411674895986519,0.9380712870975016,0.985,c,[0.9612571  0.98281357],0.19849503966477355
fund000404,2020-06-30,daily_return,0.8776252597321615,0.954116899561972,0.06950319672590775,0.07580181255694295,0.10576608762378455,0.10861488782128159,0.9380712870975016,0.99,c,[0.90301693 0.93109602],0.19610705412216
fund000404,2020-06-30,daily_return,0.8819464394855857,0.9473587553119156,0.06826505326693912,0.08119256972985107,0.12246076628080853,0.10664095948210568,0.9380712870975016,0.995,c,[0.82452604 0.99282699],0.19467397639794215
fund000404,2019-12-31,cum_net_value,0.9819974285246318,0.600351425819553,0.0029595817788171546,0.01970696282922106,0.0262553632188813,0.029290841085106732,1,1,n,[ 1.21085262e-09 -1.75856074e-09],0.5246628718150661
fund000404,2019-12-31,cum_net_value,0.9819974285246318,0.600351425819553,0.0029595817788171546,0.01970696282922106,0.0262553632188813,0.029290841085106732,1,1,n,[ 1.21085262e-09 -1.75856074e-09],0.5246628718150661
fund000404,2019-12-31,cum_net_value,0.9693036178769977,-3.7866350544351093,0.0038646188617793707,0.06820178196660033,0.06572160615250416,0.11813013737882562,0.8575334458853869,0.98,c,[6.98831043e-10 2.41741535e-09],1.2705572476595384
fund000404,2019-12-31,cum_net_value,0.9759925163468025,-2.4716139627313005,0.0034177193230239184,0.058082630477554305,0.05350197248138863,0.10185034703981125,0.8575334458853869,0.985,c,[7.96633766e-10 2.92336773e-09],1.0096459694959032
fund000404,2019-12-31,cum_net_value,0.9810707543325058,-1.1106018368438195,0.0030347975635630488,0.04528806022126122,0.039328558637442536,0.08054505750364617,0.8575334458853869,0.99,c,[8.94870367e-10 3.34295861e-09],0.7519881661270027
fund000404,2019-12-31,cum_net_value,0.9837338479894263,0.11198624145928349,0.00281323159450088,0.029375847895338852,0.02332113677631488,0.05319248528243305,0.8575334458853869,0.995,c,[9.89887736e-10 3.38497412e-09],0.5228352593459911
